epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,2898.1,1.11598,0.8444,1.30282,0.89227,0.80004,0.85932,0.55736,1.20707,0.70713,1.38018,0.000912563,0.000912563,0.000912563
162,2915.97,1.11837,0.85535,1.2724,0.87195,0.80827,0.86492,0.5667,1.17219,0.71901,1.35398,0.000907848,0.000907848,0.000907848
163,2933.94,1.13275,0.8994,1.32151,0.83705,0.82331,0.85296,0.56721,1.1785,0.74012,1.3404,0.000903133,0.000903133,0.000903133
164,2951.83,1.10937,0.85757,1.30155,0.88812,0.79962,0.85542,0.54223,1.1934,0.75211,1.37925,0.000898418,0.000898418,0.000898418
165,2969.7,1.13222,0.93056,1.32018,0.8842,0.78571,0.85923,0.54459,1.26214,0.83127,1.43144,0.000893703,0.000893703,0.000893703
166,2987.59,1.11951,0.9075,1.29163,0.89281,0.78195,0.84394,0.5481,1.18094,0.73453,1.35275,0.000888987,0.000888987,0.000888987
167,3005.54,1.11416,0.85354,1.2893,0.85288,0.81579,0.85298,0.56071,1.19414,0.76186,1.37965,0.000884272,0.000884272,0.000884272
168,3023.4,1.06658,0.80667,1.26948,0.86005,0.83382,0.87291,0.57087,1.14989,0.71855,1.34067,0.000879557,0.000879557,0.000879557
169,3041.39,1.10657,0.87455,1.30013,0.89624,0.82331,0.87681,0.58675,1.16717,0.72596,1.35063,0.000874842,0.000874842,0.000874842
170,3059.38,1.08341,0.83821,1.29671,0.82125,0.86466,0.85723,0.57844,1.17538,0.72165,1.3766,0.000870126,0.000870126,0.000870126
171,3077.25,1.11331,0.84143,1.31895,0.90952,0.82707,0.86588,0.57574,1.21789,0.68312,1.40112,0.000865411,0.000865411,0.000865411
172,3095.12,1.09803,0.8242,1.25821,0.83732,0.83459,0.85313,0.55748,1.27366,0.75536,1.41811,0.000860696,0.000860696,0.000860696
173,3113.01,1.13121,0.88757,1.3163,0.86352,0.82707,0.8594,0.55942,1.22754,0.71539,1.37819,0.000855981,0.000855981,0.000855981
174,3130.9,1.091,0.8372,1.28581,0.88479,0.82183,0.86767,0.55937,1.19378,0.72057,1.36755,0.000851265,0.000851265,0.000851265
175,3148.78,1.07371,0.83812,1.27881,0.88576,0.81579,0.86416,0.57281,1.16379,0.72732,1.33407,0.00084655,0.00084655,0.00084655
176,3166.66,1.06474,0.78365,1.26893,0.86224,0.81025,0.84006,0.5622,1.19944,0.73852,1.37914,0.000841835,0.000841835,0.000841835
177,3184.53,1.11897,0.84923,1.2843,0.83809,0.84086,0.86363,0.56194,1.23846,0.68509,1.39792,0.00083712,0.00083712,0.00083712
